Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
4863,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, West Mesa",22-Jul-01,"Holmgren, M.",Family Group in Close Association,,,family,,34.45687,-119.76025,100,103,,San Marcos Foothills 22 July 2001.pdf,-13331650.05,4090314.7278437763
4864,Nuttall's Woodpecker,NUWO,Dryobates nuttallii,"San Marcos Foothills, West Mesa",22-Jul-01,"Holmgren, M.",Family Group in Close Association,,,family of 5,,34.45995,-119.76626,25,143,,San Marcos Foothills 22 July 2001.pdf,-13332319.08,4090730.553917761
4865,Say's Phoebe,SAPH,Sayornis saya,"San Marcos Foothills, Central",10-Apr-02,"Holmgren, M.",Nest in Use (clarify),wooden beam,2.1,nest on beam of guest cottage. This was a successful nesting as I recall.,"With Zappala, K., de Bourbon, L.  Inholding, Brown's guest house",34.45874,-119.75974,10,126,,SMF 10 Apr 02.doc and e-mail from Don Brown confirming nest.,-13331593.27,4090567.1918450617
4866,Cassin's Kingbird,CAKI,Tyrannus vociferans,"San Marcos Foothills, somewhere W of Hwy 154",28-Apr-02,"Holmgren, M.",Carrying Food,,,Carrying food from Hidden Cyn W across highway. Commuting.,"I have no idea of the final destination, but it looked like a food carry for nesting purposes.",34.458,-119.77146,250,127,,CCBER Field Note Archive,-13332897.94,4090467.2856284156
4867,European Starling,EUST,Sturnus vulgaris,"San Marcos Foothills, somewhere W of Hwy 154",29-Apr-02,"Holmgren, M.",Carrying Food,,,20-30 individuals carrying food from West Mesa W across highway. Commuting.,"I have no idea of the final destination, but it looked like a food carry for nesting purposes.",34.46092,-119.77428,250,146,,SMF 29 April 2002.doc,-13333211.86,4090861.515305604
4868,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, No-name Creek",19-May-02,"Holmgren, M.",Carrying Food,,,carrying grasshopper to oak,on property boundary,34.45574,-119.75537,10,88,,CCBER Field Note Archive,-13331106.81,4090162.172123662
4869,Cooper's Hawk,COHA,Accipiter cooperii,"San Marcos Foothills, Cieneguitas Ck",19-May-02,"Holmgren, M.",Territorial Defense,,,"extreme agitation at my presence, both members of pair calling; no direct nesting evidence found",quail feathers on ground below. Near southern property border,34.45657,-119.75325,50,96,,CCBER Field Note Archive,-13330870.81,4090274.2261238704
4870,Western Bluebird,WEBL,Sialia mexicana,"San Marcos Foothills, West Mesa",5-Jul-02,"Holmgren, M.",Fledgling under Parental Care,,,Fledgling in presence of pair of adults,"With Ball, M.  Along Via Gaitero",34.45544,-119.76546,15,112,,SMF 5 July 2002.pdf,-13332230.02,4090121.6709518447
4875,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",22-Feb-03,"Holmgren, M.",Carrying Nesting Material,Eucalyptus,,"both adults carrying nesting material and landing in same spot. On 23 Feb 2003, Holmgren saw copulation by the pair.","N of the property, N of Atascadero Creek",34.46656,-119.76003,100,156,,SMF 22 February 2003.pdf,-13331625.56,4091623.0116658174
4876,Bushtit,BUSH,Psaltriparus minimus,"San Marcos Foothills, West Mesa",22-Feb-03,"Holmgren, M.",Carrying Nesting Material,Coast Live Oak,,1 pair together and female was carrying nesting material,"San Antonio Ck tributary, near bathtub",34.46365,-119.76919,5,169,,SMF 22 February 2003.pdf,-13332645.24,4091230.1055235905
4877,Bushtit,BUSH,Psaltriparus minimus,"San Marcos Foothills, Central",23-Feb-03,"Holmgren, M.",Carrying Nesting Material,Coast Live Oak,,pair carrying nesting material,N of Atascadero Creek entrance trail,34.45889,-119.76054,5,99,,SMF 23 Feb 2003.pdf,-13331682.33,4090587.443213126
4878,House Wren,HOWR,Troglodytes aedon,"San Marcos Foothills, West Mesa",10-May-03,"Holmgren, M.",Family Group in Close Association,,,family group,in Hidden Cyn,34.4592,-119.7659,75,130,,CCBER Field Note Archive,-13332279,4090629.296155747
4879,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, West Mesa",7-Jul-03,"Holmgren, M.",Territorial Defense,,,"song and adult ""protecting nest""",,34.46142,-119.76759,10,172,,San Marcos Foothills 7 July 2003.pdf,-13332467.13,4090929.021769925
4880,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, West Mesa",7-Jul-03,"Holmgren, M.",Family Group in Close Association,,,5 fledglings with adult on fence,,34.46036,-119.76982,10,155,,San Marcos Foothills 7 July 2003.pdf,-13332715.37,4090785.9085455374
4881,Grasshopper Sparrow,GRSP,Ammodramus savannarum,"San Marcos Foothills, West Mesa",7-Jul-03,"Holmgren, M.",Fledgling under Parental Care,,,"Song and 'tick's, adult with fledgling",,34.45966,-119.76846,10,154,,San Marcos Foothills 7 July 2003.pdf,-13332563.98,4090691.400808592
4882,Lark Sparrow,LASP,Chondestes grammacus,"San Marcos Foothills, West Mesa",7-Jul-03,"Holmgren, M.",Feeding Fledgling,,,adult feeding fledgling,food obtained from SE Pod of West Mesa and taken to fledgling eastward to head of Hidden Cyn.,34.46063,-119.76687,25,160,,San Marcos Foothills 7 July 2003.pdf,-13332386.98,4090822.361741545
4885,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, West Mesa",19-Jun-03,"Holmgren, M.",Fledgling out of Nest--Brancher,Coast Live Oak,14,brancher? At nest in oak next to hwy 154; ad overhead.,Apparently this documents breeding in the nest used in 1998.,34.45855,-119.76879,10,137,,San Marcos Foothills 19 June 2003.pdf,-13332600.72,4090541.5401644097
4887,Anna's Hummingbird,ANHU,Calypte anna,"San Marcos Foothills, East",23-Dec-04,"Holmgren, M.",Nest Building,Coast Live Oak,,gathering spider web material led me to nest platform,on Cieneguitas Ck E arm lower,34.45674,-119.75302,35,101,,San Marcos Foothills 23 December 2004.pdf,-13330845.21,4090297.177080617
5036,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Baja West Mesa",27-Apr-17,"Holmgren, M.",Nestling in Nest,Eucalyptus,30,"Minimum of 2 large white-headed, dark winged nestlings in nest.",East edge of Baja West Mesa,34.45628,-119.76427,10,101,,,-13332097.55,4090235.074599614
5045,Northern Mockingbird,NOMO,Mimus polyglottos,San Marcos Foothills,30-Apr-17,"Holmgren, M.",Carrying Nesting Material,,,"Cnm, large stringy wad",S of SMF. Did not see destination of nest material.,34.45646,-119.76322,50,79,,S36428694,-13331980.67,4090259.375529697
5282,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",13-May-17,"Holmgren, M.",Nestling in Nest,Eucalyptus,40,"3 large nestings with white heads, dark bodies viewed from more than 500m distance. Adults nearby.","With Jim Hodgson. N of property line just E of Atascadero Ck in dead, fully exposed Eucalyptus. Long-occupied nest site.",34.46662,-119.76003,15,200,,S36810382,-13331625.56,4091631.112967509
5583,Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,"San Marcos Foothills, Cieneguitas Ck",18-Apr-99,"Holmgren, M.",Pair in suitable habitat,,,Pair in suitable habitat,,34.46282,-119.75625,125,157,,S21660064,-13331204.77,4091118.042020921
5898,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",6-Aug-10,"Harris, D.",Fledgling with Presumed Parent,,,juvenile with 2 adults,"along Cieneguitas Creek. A few weeks previous, Richard Figueroa saw 5 white birds together that appeared to be kites in same area.",34.45655,-119.75308,150,102,,Kite Histories 2010.docx,-13330851.89,4090271.526014385
6027,Western Kingbird,WEKI,Tyrannus verticalis,San Marcos Foothills,11-Jul-88,"Lehman, P.",Family Group in Close Association,,,family group of 4,Lehman file ref 17,34.45549,-119.76621,100,117,,"BOSB, 1994",-13332313.51,4090128.4211370414
6358,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",14-Mar-18,"Holmgren, M.",Nest in Use (clarify),Eucalyptus,,Adult on nest slightly N of SMF boundary. 3 other adults were to the south on SMF.,"With O'Loghlen, A.",34.46653,-119.75951,15,226,,dead Euc,-13331567.67,4091618.9610171528
6359,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Baja West Mesa",14-Mar-18,"Holmgren, M.",Nest in Use (clarify),Eucalyptus,,"Adult on nest. On 8 April 2018, 3 white, fluffy nestlings. Adult perched on E side (shading young), then it hunted. Mate present, pair flying together.","With O'Loghlen, A.  dead Euc",34.45623,-119.76427,15,78,,,-13332097.55,4090228.324350552
6360,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",14-Mar-18,"Holmgren, M.",Nest in Use (clarify),Eucalyptus,,"Bird on nest slightly S of SMF boundary. Mate calling persistently.On 8 April 2018, Holmgren saw adult standing on E side of nest (shading young?), constantly futzing toward nest bottom.","With O'Loghlen, A.  dead Euc",34.45537,-119.75712,10,92,,,-13331301.62,4090112.2206993555
6376,Phainopepla,PHAI,Phainopepla nitens,"San Marcos Foothills, W of Via Chaparral, S of Salvar Rd",13-May-15,"O'Loghlen, A.",Feeding Fledgling,,,Three recent fledglings hunkered together being repeatedly fed by both parents.,"Noleta, in chaparral west of San Marcos Foothills Preserve and Hwy 154.",34.45321,-119.76704,15,93,https://goo.gl/Ckk7SK,ID248,-13332405.91,4089820.616801852
6623,Mourning Dove,MODO,Zenaida macroura,"San Marcos Foothills, West Mesa",4-May-18,"Gevirtz, E.",Egg in Nest,ground,0,Flushed adult from nest and discovered two eggs in nest on the ground.,SE Pod or West Mesa. In patch of Stipa pulchra dominated grassland near edge of canyon that is dominated by coastal sage scrub species. Ken Owen also observed the flush and nest.,34.4587,-119.76404,0,138,https://goo.gl/S4Z732,ID364,-13332071.95,4090561.7914863895
6725,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, Cieneguitas Ck",24-May-18,"Gevirtz, E.",Delivering Food to Nest or Cavity,Coast Live Oak,12,"Adult with prey item flying over the mesa from northwest to southeast and dropped into oak tree and delivered prey item at 6:26pm. On 13 June 2018, Holmgren and Lentz saw a single bird acting nesty.","Adult left about 5 minutes later heading west. I returned to site at 7:48 pm and observed two adults perched in oak trees about 20 feet from each other, and what appeared to be about 40 feet west of prey delivery observation.",34.45715,-119.75316,40,95,,ID449,-13330860.79,4090352.5295803044
6726,House Wren,HOWR,Troglodytes aedon,"San Marcos Foothills, Central",24-May-18,"Gevirtz, E.",Nestling in Nest,Coast Live Oak,,"Two or more adults in two adjacent trees. Lots of chatter. I thought I heard juveniles begging but I am not certain. When I stood under the tree, the adult fled and it got quiet. After I stepped away about 50 feet, the chatter resumed.",I did not observe a nest. Between Atascadero and Cieneguitas Ck watersheds.,34.4628,-119.75856,1,176,,ID450,-13331461.92,4091115.341709304
6833,Western Screech-Owl,WESO,Megascops kennicottii,"San Marcos Foothills, East",3-Jun-18,"Mumford, B.","Nestling/Fledgling Dead (photo, please)",,,Fresh dead nestling or fledgling showed up on patio. No visible trauma.,,34.45756,-119.75182,49.9,109,https://goo.gl/o1HLPM,ID498,-13330711.62,4090407.8823517854
6868,Anna's Hummingbird,ANHU,Calypte anna,"San Marcos Foothills, No-name Ck",13-Jun-18,"Holmgren, M.",Adult at Nest (clarify),Saw-toothed Goldenbush,0.6,female on nest,Near No-name Creek,34.46037,-119.75439,15,118,https://goo.gl/Qp5s5Y,ID513,-13330997.72,4090787.2586618043
6869,Say's Phoebe,SAPH,Sayornis saya,"San Marcos Foothills, No-name Ck",13-Jun-18,"Holmgren, M.",Carrying Food,,,Carrying food flying from NE to WSW,Near No-name Creek,34.46062,-119.7543,25,117,,,-13330987.7,4090821.0116210696
7087,Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,San Marcos Foothills,7-Jun-18,"Gevirtz, E.",Feeding Fledgling,,,Adult feeding worm or caterpillar to second bird. I assume this was a juvenile.,Hidden Cyn nr West Mesa,34.45985,-119.76611,15,139,,ID662,-13332302.38,4090717.052830273
7555,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, Cieneguitas Ck",9-Mar-19,"Holmgren, M.",Adult at Nest (clarify),Coast Live Oak,,"Male and female together one bird fairly consistently futzing around with the nest. Strong response to Red-tail fly over, lukewarm response to Cooperâ€™s Hawk flying over. On 9 May 2019, Holmgren saw sentry in position, while partner is on nest rim. Lots of futzing and circling in the nest as though she is brooding nestlings. On 22 May, Kincaid in a brief visit saw 2 adults looking rather territorial, but no further evidence showing. On 29 May 2019, Kincaid saw 2 adults, 3 fledglings, and an aerial transfer of food. On 10 June, Mumford sent photo showing 3 fledglings together a short distance from the nest.",At one point male delivered something that looked larger than prey to the nest and to the female in the nest.,34.45645,-119.75336,40,105,,ID752,-13330883.06,4090258.0254766513
7556,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",9-Mar-19,"Holmgren, M.",Adult at Nest (clarify),Eucalyptus,,"Adult sitting on nest. On 4 May 2019, Holmgren saw 1 nestling with adult in nest.  Adult may have been brooding other nestling.",,34.46531,-119.75927,25,226,,,-13331540.95,4091454.235871591
7557,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Hidden Cyn",9-Mar-19,"Holmgren, M.",Adult at Nest (clarify),Eucalyptus,,"Adult sitting on nest. On 4 May 2019, Holmgren saw two large nestlings, one standing, flapping at nest. Adults nearby.",,34.45623,-119.76423,15,78,,,-13332093.1,4090228.324350552
7558,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",9-Mar-19,"Holmgren, M.",Adult at Nest (clarify),Eucalyptus,,"Adult sitting on nest. On 4 May 2019, Holmgren saw two white fluffy-headed nestlings with adult. On 10 May, L. Hunt reports two adults attending two nestlings (close to fledging).",,34.45541,-119.75731,10,92,,,-13331322.77,4090117.6208426636
7713,Bushtit,BUSH,Psaltriparus minimus,"San Marcos Foothills, Cieneguitas Ck",1-Apr-19,"Holmgren, M.",Carrying Nesting Material,,,adult accompanied by another adult carrying fuzzy white material in bill to oak.,Spent much time looking for nest location.,34.4595,-119.75386,50,108,,ID777,-13330938.72,4090669.799151402
7900,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Atascadero Ck",29-Apr-19,"Mulroy, M.",Nestling in Nest,Coast Live Oak,6,"Adult trailing fibrous material, like tree bark, long and thin with multiple ends (as if it were a light material) to one of the apparently oaks, saw a pair several times in that area. At 9am, April 30, Mulroy observed 2 adults and 2 chicks in nest. On 4 May 2019, Holmgren sees 2 nestlings with adult in nest that is apparently on a fallen oak.",eBird S55574042,34.45918,-119.76032,10,107,,ID957,-13331657.84,4090626.595961211
7931,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,San Marcos Foothills,4-May-19,"Holmgren, M.",No suitable category,building,5,"12 individuals coming in regularly to far-from-complete nests on the N side of apartment building. They seem to not be carrying mud, but maybe they are nest building.",,34.45498,-119.75993,10,88,,ID987,-13331614.43,4090059.5694376556
7932,Hooded Oriole,HOOR,Icterus cucullatus,"San Marcos Foothills, Central",4-May-19,"Holmgren, M.",Nest Building,palm,6,"Adult bringing large cloud of white, fluffy stuff to nest.","Church parking lot.  Adrian, I think I entered this Hooded Oriole nest into the previous Cliff Swallow record. OOOps!",34.45675,-119.76008,5,106,https://tinyurl.com/y4udt4yo,ID988,-13331631.12,4090298.527138351
7933,Bewick's Wren,BEWR,Thryomanes bewickii,"San Marcos Foothills, Central",4-May-19,"Holmgren, M.",Delivering Food to Nest or Cavity,Coast Live Oak,2.2,"2 adults present, one trying despite my presence, then succeeding, delivery of small insect to knot hole in oak. A second small-item delivery seen.",Atascadero Ck,34.46064,-119.76202,10,110,,ID989,-13331847.08,4090823.711862179
7934,Song Sparrow,SOSP,Melospiza melodia,"San Marcos Foothills, Central",4-May-19,"Holmgren, M.",Carrying Food,,,Adults making back and forth trips carrying food to this approximate location. Pair very aggressive in defending site.,No nest located. Atascadero Ck.,34.46215,-119.76122,15,120,,ID990,-13331758.03,4091027.5819338765
7952,Phainopepla,PHAI,Phainopepla nitens,San Marcos Foothills,6-May-19,"Mulroy, M.",Feeding Fledgling,Coast Live Oak,3,Adult feeding fledgling.Â ,N on ridge dividing Cieneguitas from Atascadero watersheds. I had previously observed phainopeplas in this area and suspected there was a nest location nearby.,34.46227,-119.75849,5,170,,ID1001,-13331454.12,4091043.7836871403
7953,Lesser Goldfinch,LEGO,Spinus psaltria,San Marcos Foothills,6-May-19,"Mulroy, M.",Nestling in Nest,Coast Live Oak,4,Adult delivering food to nest with chicks.,,34.46237,-119.75874,2,172,,ID1002,-13331481.95,4091057.2851659846
7954,House Wren,HOWR,Troglodytes aedon,"San Marcos Foothills, No-name Creek",6-May-19,"Mulroy, M.",Nestling in Nest,Coast Live Oak,3,Heard noisy chicks in oak cavity. Adult appeared and made scolding/alarm calls.,,34.46339,-119.75654,5,174,,ID1003,-13331237.05,4091195.0011739926
8000,Nuttall's Woodpecker,NUWO,Dryobates nuttallii,"San Marcos Foothills, East",13-May-19,"Mulroy, M.",Nestling in Nest,Coast Live Oak,1,"Twice observed female visit nest cavity and feed nestling, which poked its head out of the nest hole.",Nest less than 1 m from ground in a fallen dead oak tree partially surrounded by prickly pear cactus. At least 1 adukt-sized nestling.,34.46351,-119.75717,3,120,,ID1038,-13331307.18,4091211.203167913
8001,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, East",13-May-19,"Mulroy, M.",Egg in Nest,ground,0,"Flushed two adult from nest on ground with 9 eggs in it, concealed under a dead shrub and dead grass thatch.",,34.4603,-119.75459,5,120,,ID1039,-13331019.98,4090777.8078513206
8010,Song Sparrow,SOSP,Melospiza melodia,"San Marcos Foothills, East",14-May-19,"Mulroy, M.",Fledgling under Parental Care,,,At least 3 recent fledglings with adults nearby.,Fledglings in riparian veg and adjacent mustard/poison hemlock along Cieneguitas Creek.,34.45846,-119.75385,5,103,,ID1041,-13330937.6,4090529.389388686
8018,Wrentit,WREN,Chamaea fasciata,"San Marcos Foothills, Central",25-Apr-19,"Hunt, L.",No suitable category,California Sage,0.8,"Nest with four eggs. Shrub was surrounded by dense, 6 ft-high Brassica nigra, shrub located at interface between coastal sage scrub and non-native annual grassland/ruderal habitat. Parents not observed.","No indication that eggs were warm. Nest in fork of shrub mostly dead, surrounded by dense Black Mustard located between coastal sage scrub and non-native annual grassland/ruderal habitat. In residential envelop.",34.45666,-119.75781,4,99,https://tinyurl.com/y357237e,ID1065,-13331378.43,4090286.376624562
8019,Brewer's Blackbird,BRBL,Euphagus cyanocephalus,"San Marcos Foothills, Central",15-May-19,"Hunt, L.",Copulation,,,Copulating on top of dirt spoil pile on residential development site.Â ,Pair foraging on recently scraped ground with two other pairs of blackbirds and a recently fledged Western Bluebird.,34.4569,-119.75681,4,106,,ID1066,-13331267.11,4090318.778023768
8083,Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,"San Marcos Foothills, West",19-May-19,"Rowan, B.",Juvenile Independent,,,"A lone juvenile sparrow was observed perched about 5 feet off the ground in a dead/burned tree. The sparrow was overall pale, had fine streaking along the breast, a white eye ring, and stout legs. The underside of the tail was dark. On 3 June 2019, M. Mulroy found 2 adults with at least 3 fledglings distinguished by streaking on upper breast.",M. Holmgren assisted with identification.  It seems likely that these 2 observations were of the same family.,34.45979,-119.76611,5,137,https://tinyurl.com/y4aktyds,ID1117,-13332302.38,4090708.952
8090,Song Sparrow,SOSP,Melospiza melodia,"San Marcos Foothills, East",21-May-19,"Mulroy, M.",Carrying Nesting Material,,,Observed adult with nest material in its beak along Cieneguitas Creek.,,34.45784,-119.75339,5,102,,ID1122,-13330886.4,4090445.684400694
8164,Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,"San Marcos Foothills, Central",27-May-19,"Mulroy, M.",Nest Building,Coast Live Oak,4,"Pair flying with nest material and adding to a partially completed nest. Both birds were very active, making multiple trips to and from the nest in 5-10 minutes of observation.",,34.46245,-119.75872,5,174,,ID1177,-13331479.73,4091068.086360705
8212,American Kestrel,AMKE,Falco sparverius,"San Marcos Foothills, West Mesa",3-Jun-19,"Mulroy, M.",Family Group in Close Association,,,Observed 2 fledglings and heard another in an adjacent oak. Adults flying in vicinity.,I had previously observed adult kestrels perched here on multiple previous visits.,34.45837,-119.7659,3,136,,ID1222,-13332279,4090517.2386260587
8733,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",7-Aug-19,"Gevirtz, E.",Pair in suitable habitat,Coast Live Oak,8,Adults persistently tending site.,Cieneguitas Ck,34.457,-119.75343,150,104.6,,ID1694,-13330890.85,4090332.278634256
8778,Lesser Goldfinch,LEGO,Spinus psaltria,San Marcos Foothills,4-Sep-19,"Holmgren, M.",Feeding Fledgling,,,Adult transferring some elastic material to begging fledgling.,No-name Ck at Cocopah,34.45605,-119.75549,5,88,https://tinyurl.com/y4hexnsf,ID1730,-13331120.17,4090204.0234874045
8800,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",22-Sep-19,"Nelms, L.",Feeding Fledgling,,,"Adult transferring prey to 1 of 3 fledglings. On 26 Sept, Nelms again saw 3 fledgling and an adult hunting. Same on 27 and 28 Sept 2019.",,34.45986,-119.7663,150,139,https://tinyurl.com/yypredz3,,-13332323.53,4090718.4029382947
8980,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",19-Mar-20,"Gevirtz, E.",Pair in suitable habitat,,,"Kite dropped into one of the oaks at the historic nest site. I was quite a distance away, so I can't be sure which oak. Coordinates are those of a kite foraging nearby. Holmgren notes pair on territory persistenty through summer.",,34.45719,-119.75238,200,109,,no number,-13330773.96,4090357.929838727
8982,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",20-Mar-20,"Holmgren, M.",Adult at Nest (clarify),"Eucalyptus, dead",40,"Adult on nest with another flying back and forth around it. On 20 June, Holmgren saw 3 full-grown nestlings feeding on something in the nest.",N of property border,34.46535,-119.76107,150,219,,ID1853,-13331741.33,4091459.636657863
8983,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Baja West Mesa",20-Mar-20,"Holmgren, M.",Adult at Nest (clarify),Eucalyptus,30,"Adult on nest, other adult foraging nearby.",,34.45623,-119.76417,25,96,,ID1854,-13332086.42,4090228.324350552
8984,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",20-Mar-20,"Holmgren, M.",Adult at Nest (clarify),Eucalyptus,20,Adult in nest.,"On S edge of property, in Paul Krier's back yard. 5 new homes immed. N of nest since 2019.",34.45541,-119.75721,15,91,,ID1855,-13331311.64,4090117.6208426636
9417,Phainopepla,PHAI,Phainopepla nitens,"San Marcos Foothills, Central",15-May-20,"Altstatt, J.",Adult at Nest (clarify),Coast Live Oak,3.5,"Male foraging, carrying insect to oak tree, and then sitting on nest.","Both birds flying around this tree looked like males (black with white wing patches), with another male perched near by.",34.46182,-119.75836,3,162.3,https://tinyurl.com/ydyucz4z,ID2301,-13331439.65,4090983.027232476
9418,House Wren,HOWR,Troglodytes aedon,"San Marcos Foothills, Central",15-May-20,"Altstatt, J.",Nestling in Nest,Coast Live Oak,3,Bird carrying large insect (crane fly) to hole in limb knot on oak. Sound of nestling(s).,,34.46091,-119.76233,5,118.1,https://tinyurl.com/y9xunmnl,ID2302,-13331881.59,4090860.1651804415
9424,Common Yellowthroat,COYE,Geothlypis trichas,"San Marcos Foothills, East",15-May-20,"Schwartzkopf, P.",Carrying Food,,,"Adult male carrying small food item, trying to deliver it, in mustard stand.",,34.45804,-119.75284,10,104,,ID2308,-13330825.17,4090472.6859418126
9544,Say's Phoebe,SAPH,Sayornis saya,"San Marcos Foothills, East",25-May-20,"Mulroy, M.",Feeding Fledgling,,,Observed an adult Say's phoebe with 2 fledged young. Young observed begging and being fed in grassland/ruderal vegetation west of the trail.,,34.46146,-119.75557,25,138,https://tinyurl.com/yaghomat,ID2435,-13331129.07,4090934.422304537
9545,Northern Flicker,NOFL,Colaptes auratus,"San Marcos Foothills, Central",25-May-20,"Mulroy, M.",Visiting Probable Nest Site,wooden power pole,4,"Adult male persistently calling (peah!) from the top of an old power pole with the top 2/3 cut off, being answered by another flicker nearby. Something visibly moving around cavity in pole, presumably a nestling (faintly visible in photo). Did not see the flicker visit the cavity.",A NOFL pair present here in late March.,34.45922,-119.76073,10,98.9,https://tinyurl.com/y9x6oc2b,ID2436,-13331703.48,4090631.9963509296
9777,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",21-Jun-20,"Holmgren, M.",Copulation,,,Long copulations (10 seconds) by adults.,Cieneguitas Ck. This initiates the second breeding attempt for this pair.,34.45836,-119.75203,15,112,,ID2689,-13330735,4090515.888542129
9917,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"San Marcos Foothills, Central",30-Jun-20,"Mulroy, M.",Nestling in Nest,telephone pole,15,Heard nestlings making noise that appeared to be coming from a wooden transmission pole where I often see acorn woodpeckers perched. I then observed two adult ACWOs separately visit and enter a round cavity near the top of the transmission pole.,,34.46108,-119.76077,5,122.5,https://tinyurl.com/yyp3399u,ID2833,-13331707.93,4090883.1173302005
10452,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",1-May-21,"Gaskin, L.",Nestling in Nest,Eucalyptus,15,"Atascadero Ck just north of preserve. Observed feeding three nestlings. On 5 June 2021, Hodgson and Holmgren observed adult present and at least one fledgling that was able to fly out of the nest.",upper Atascadero Ck. dead Eucalyptus,34.46533,-119.76119,45,159.4,https://tinyurl.com/2wz3vacm,ID3466,-13331754.69,4091456.936264405
10676,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",26-Jun-20,"Puga, C.",Copulation, , ,Pair of kites copulating, ,34.45793,-119.75236,5,98,https://tinyurl.com/enrpbm4w,ID3698,-13330771.74,4090457.835086194
10764,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",5-Jun-21,"Mumford, B.",Nestling in Nest,Coast Live Oak, ,"One nestling visible in nest; both adults present. By 11 June 2021, it is apparent that this nesting is aborted or predated.  ", ,34.45852,-119.75239,20,115,,ID3795,-13330775.08,4090537.4899043795
10766,Hooded Oriole,HOOR,Icterus cucullatus,"San Marcos Foothills, East",21-May-21,"Mumford, B.",Agitated Behavior (clarify), , ,"Heard a busy chittering in the trees and, on inspection, found a Scrub Jay eating the chick of a pair of Hooded Orioles, who were very upset.","It was too late to do anything about it. Since I did not see the nest itself, only the fallen chick, I don't know for sure which tree it was in or how high it was.",34.45716,-119.75162,10,121.8,,ID3797,-13330689.36,4090353.879644669
10767,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",5-Jun-21,"Holmgren, M.",Fledgling out of Nest--Brancher,Coast Live Oak,45,Two branchers flying just out of the nest. Possibly a third nestling still in the nest.,over the Atascadero Creek entrance to the preserve.,34.45868,-119.76025,15,107.4,,ID3798,-13331650.05,4090559.091308024
10768,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",5-Jun-21,"Holmgren, M.",Nestling in Nest,Eucalyptus,20,"Two small, white-headed nestlings with adult. Adult appears to be a kind of rufous morph.","On S edge of property, in Paul Krier's back yard. 5 new homes immed. N of nest since 2019.",34.45541,-119.75721,15,90.6,,ID3799,-13331311.64,4090117.6208426636
10769,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, West Mesa",5-Jun-21,"Holmgren, M.",Delivering Food to Nest or Cavity,Sugarbush, ,Two food deliveries seen.,At N end Via Gaitero at Preserve entrance.,34.45775,-119.76668,3,136.5,,ID3800,-13332365.83,4090433.5337282927
